x,y,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20
1,2,-37,-46,-25,-31,-60,-79,-37,-44,-64,-73,-52,-60,-66,-82,-51,-57,-53,-69,-65,-78
1,2,-36,-44,-24,-31,-64,-76,-37,-45,-68,-69,-52,-60,-64,-81,-52,-57,-53,-67,-65,-80
1,2,-38,-44,-24,-32,-61,-73,-38,-47,-68,-71,-53,-60,-64,-81,-51,-59,-53,-63,-65,-77
1,2,-38,-44,-24,-32,-61,-73,-38,-47,-68,-71,-53,-60,-64,-81,-51,-59,-53,-63,-65,-77
1,2,-42,-44,-30,-34,-62,-72,-37,-46,-66,-74,-53,-62,-72,-82,-51,-59,-55,-66,-69,-81
1,3,-41,-44,-28,-37,-64,-70,-38,-44,-60,-68,-51,-63,-65,-81,-45,-59,-54,-63,-60,-76
1,3,-49,-53,-28,-36,-57,-76,-39,-47,-60,-75,-51,-61,-65,-83,-49,-55,-54,-66,-64,-79
1,3,-42,-52,-24,-36,-57,-76,-42,-48,-60,-75,-54,-63,-65,-85,-49,-57,-58,-68,-63,-81
1,3,-42,-52,-27,-33,-57,-75,-42,-49,-59,-73,-52,-65,-65,-86,-48,-56,-54,-65,-63,-81
1,3,-47,-50,-24,-35,-60,-75,-42,-49,-61,-75,-52,-67,-68,-84,-48,-57,-54,-66,-67,-81
1,3,-49,-49,-24,-35,-61,-76,-40,-49,-61,-76,-54,-65,-65,-83,-49,-58,-52,-66,-67,-80
1,3,-49,-50,-27,-34,-61,-76,-40,-50,-58,-75,-53,-67,-65,-84,-48,-57,-54,-65,-68,-80
1,3,-49,-50,-26,-35,-56,-76,-45,-47,-60,-76,-54,-66,-65,-85,-48,-56,-54,-67,-65,-78
1,3,-48,-50,-26,-35,-60,-75,-46,-47,-60,-75,-53,-65,-66,-85,-49,-57,-54,-67,-64,-79
1,3,-48,-50,-25,-34,-59,-78,-45,-46,-60,-76,-54,-64,-66,-83,-49,-57,-53,-69,-63,-78
1,4,-48,-52,-31,-33,-68,-77,-49,-52,-68,-77,-60,-68,-70,-84,-55,-63,-65,-68,-77,-85
1,4,-48,-52,-31,-33,-68,-77,-49,-52,-68,-77,-60,-68,-70,-84,-55,-63,-65,-68,-77,-85
1,4,-46,-39,-31,-36,-61,-69,-39,-45,-58,-72,-58,-68,-68,-77,-51,-59,-55,-63,-70,-81
1,4,-46,-39,-31,-36,-61,-69,-39,-45,-58,-72,-58,-68,-68,-77,-51,-59,-55,-63,-70,-81
1,4,-46,-41,-32,-33,-66,-70,-41,-44,-57,-71,-54,-63,-65,-79,-51,-59,-52,-58,-65,-77
1,4,-41,-43,-27,-36,-59,-69,-40,-45,-62,-72,-51,-62,-65,-79,-46,-63,-53,-62,-65,-76
1,4,-41,-41,-28,-34,-61,-68,-48,-45,-63,-70,-51,-63,-65,-80,-47,-61,-53,-61,-60,-76
1,4,-41,-41,-27,-35,-62,-70,-40,-44,-62,-72,-51,-63,-65,-79,-46,-63,-52,-61,-63,-76
1,4,-41,-41,-27,-34,-60,-68,-41,-44,-63,-72,-52,-63,-65,-79,-46,-63,-51,-62,-59,-76
1,4,-40,-41,-28,-34,-60,-67,-40,-43,-62,-72,-52,-63,-65,-78,-47,-64,-53,-62,-59,-76
1,5,-39,-43,-37,-44,-54,-65,-47,-49,-49,-71,-61,-65,-56,-76,-62,-65,-52,-62,-64,-74
1,5,-39,-43,-37,-44,-54,-65,-47,-49,-49,-71,-61,-65,-56,-76,-62,-65,-52,-62,-64,-74
1,5,-41,-41,-40,-35,-55,-65,-44,-49,-53,-65,-56,-66,-56,-74,-57,-62,-53,-55,-62,-76
1,5,-41,-41,-40,-35,-55,-65,-44,-49,-53,-65,-56,-66,-56,-74,-57,-62,-53,-55,-62,-76
1,5,-41,-47,-40,-39,-55,-67,-43,-54,-55,-65,-54,-66,-61,-74,-59,-67,-52,-58,-62,-76
1,5,-34,-45,-39,-40,-55,-69,-44,-55,-55,-67,-55,-70,-60,-76,-59,-67,-54,-58,-61,-80
1,5,-34,-46,-37,-42,-59,-65,-41,-54,-56,-65,-59,-67,-59,-72,-59,-64,-52,-58,-63,-71
1,5,-34,-46,-37,-42,-59,-65,-41,-54,-56,-65,-59,-67,-59,-72,-59,-64,-52,-58,-63,-71
1,5,-34,-45,-37,-43,-57,-64,-43,-54,-56,-64,-58,-67,-57,-72,-60,-64,-52,-57,-63,-72
1,5,-34,-45,-37,-43,-57,-64,-43,-54,-56,-64,-58,-67,-57,-72,-60,-64,-52,-57,-63,-72
1,6,-47,-41,-39,-44,-49,-60,-47,-53,-50,-64,-56,-67,-62,-71,-55,-66,-50,-56,-67,-75
1,6,-39,-41,-36,-49,-54,-70,-50,-57,-62,-67,-62,-71,-59,-73,-64,-71,-48,-61,-66,-74
1,6,-35,-37,-45,-47,-55,-68,-50,-62,-54,-70,-58,-68,-59,-72,-63,-67,-48,-55,-66,-73
